user,live_date,message_selector,classes,raw
TheBudz34,2023-11-23 17:23:45,Lots of magnets,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Lots of magnets</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:23:51,What's the pink thing on the fridge?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">What's the pink thing on the fridge?</span></span>]"
Leif_LEK,2023-11-23 17:23:53,I like your air fryer,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">I like your air fryer</span></span>]"
cchuy89,2023-11-23 17:23:54,don't worry about it Blu,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">don't worry about it Blu</span></span>]"
norminalascent,2023-11-23 17:23:56,My aloe is almost dead,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">My aloe is almost dead</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:24:01," Yay, counter",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Yay"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_2ee3d74d01cc4165be2e5640c2dac67d/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_2ee3d74d01cc4165be2e5640c2dac67d/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_2ee3d74d01cc4165be2e5640c2dac67d/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_2ee3d74d01cc4165be2e5640c2dac67d/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> Yay, counter</span></span>]"
TolonusCZ,2023-11-23 17:24:01,cute but sus looking cactus,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">cute but sus looking cactus</span></span>]"
cchuy89,2023-11-23 17:24:06,Can we see the magnets? @BluKitsune9,[['chat-line__message-body--highlighted']],"[<span class=""chat-line__message-body--highlighted"" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Can we see the magnets? </span><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@BluKitsune9</span></span>]"
Leif_LEK,2023-11-23 17:24:11,so cute,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">so cute</span></span>]"
zerojay23,2023-11-23 17:24:11,Sweet magnet collection,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Sweet magnet collection</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:24:13,How do they even work!? O:,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">How do they even work!? O:</span></span>]"
TolonusCZ,2023-11-23 17:24:14,thats cute,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">thats cute</span></span>]"
antonyo486,2023-11-23 17:24:16,S magnets ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">S magnets </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1BobaBear"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/3.0 4x""/></div></span></div></div></span>]"
beni1223,2023-11-23 17:24:18,nice magnets ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">nice magnets </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1BobaBear"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/3.0 4x""/></div></span></div></div></span>]"
strykercrowd,2023-11-23 17:24:19,@cantgetriight I feel like people can drink just in a safe and reasonable manner. I personally just never found interest.,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@cantgetriight</span><span class=""text-fragment"" data-a-target=""chat-message-text""> I feel like people can drink just in a safe and reasonable manner. I personally just never found interest.</span></span>]"
Kommon_Zense,2023-11-23 17:24:25,@TolonusCZ lmao,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@TolonusCZ</span><span class=""text-fragment"" data-a-target=""chat-message-text""> lmao</span></span>]"
Leif_LEK,2023-11-23 17:24:26,hehe. Blu it is okay,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">hehe. Blu it is okay</span></span>]"
TheBudz34,2023-11-23 17:24:28,It's not a problem lol,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">It's not a problem lol</span></span>]"
bad__bunn_y,2023-11-23 17:24:28,Cobra,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Cobra</span></span>]"
Jinzo2188,2023-11-23 17:24:30,You could easily have all your emotes as magnets right now,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">You could easily have all your emotes as magnets right now</span></span>]"
Bernie_Baer_86,2023-11-23 17:24:30,and a random plate hiding from Blu ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">and a random plate hiding from Blu </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""LUL"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0 4x""/></div></span></div></div></span>]"
R3neeXD,2023-11-23 17:24:31,You get self-conscious about the weirdest things x),[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">You get self-conscious about the weirdest things x)</span></span>]"
atlacatl,2023-11-23 17:24:33, dont mind me just making a list of all the things wrong,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""nakkiCB"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/305194590/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/305194590/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/305194590/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/305194590/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> dont mind me just making a list of all the things wrong</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:24:36,"Wow, shoved into the corner like one of her plant pots.",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Wow, shoved into the corner like one of her plant pots.</span></span>]"
CoreyGarrison93,2023-11-23 17:24:43,Nice magnets ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Nice magnets </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1BobaBear"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7fefe5bfbf741269f189ef136bdae3f/default/dark/3.0 4x""/></div></span></div></div></span>]"
antonyo486,2023-11-23 17:24:44,That's a snackie plqte,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">That's a snackie plqte</span></span>]"
antonyo486,2023-11-23 17:24:47,Plate?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Plate?</span></span>]"
antonyo486,2023-11-23 17:24:50,*,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">*</span></span>]"
norminalascent,2023-11-23 17:24:54,@R3neeXD So like.......A woman?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@R3neeXD</span><span class=""text-fragment"" data-a-target=""chat-message-text""> So like.......A woman?</span></span>]"
antonyo486,2023-11-23 17:25:00,I hate typos yo,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">I hate typos yo</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:25:05,Neat magnet on t he fridge - the square one,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Neat magnet on t he fridge - the square one</span></span>]"
qmghost36,2023-11-23 17:25:08,Hey Blu. Happy Thanksgiving.,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Hey Blu. Happy Thanksgiving.</span></span>]"
bad__bunn_y,2023-11-23 17:25:10,@antonyo486 are you American?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@antonyo486</span><span class=""text-fragment"" data-a-target=""chat-message-text""> are you American?</span></span>]"
Leif_LEK,2023-11-23 17:25:12,the salmon,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">the salmon</span></span>]"
