user,live_date,message_selector,classes,rawText,raw
EvilGSN,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
pepelapuerta,2023-11-23 15:44:32,MENTIRA,[[]],MENTIRA,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">MENTIRA</span></span>]"
adrizo_el_erizo,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
iisasidibe,2023-11-23 15:44:32,Mientes,[[]],Mientes,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Mientes</span></span>]"
Locar_s2,2023-11-23 15:44:32,CURRAR,[[]],CURRAR,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">CURRAR</span></span>]"
Q4wA,2023-11-23 15:44:32,Paid actor,[[]],Paid actor,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Paid actor</span></span>]"
brianruizaa1,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
eduardo_pumayugra2308,2023-11-23 15:44:32,KEK,[[]],KEK,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">KEK</span></span>]"
nicooo26_,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
chagiin_,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
kiwisinpelo,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
reyes02r,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
jgfarias27,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
karenpadawan,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
Quaker_S,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
fremy6,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
monozo_il,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
NearSenpai,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
scangel11,2023-11-23 15:44:32,cuurrandooo??,[[]],cuurrandooo??,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">cuurrandooo??</span></span>]"
dmp_18,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
ricosuaveyatusabe1,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
zant_ekp,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
0topo,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
victoria_mdlc,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
andyssric,2023-11-23 15:44:32,No me lo creo,[[]],No me lo creo,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">No me lo creo</span></span>]"
FedeMadsen,2023-11-23 15:44:32,Cuanto le pagaron?,[[]],Cuanto le pagaron?,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Cuanto le pagaron?</span></span>]"
rociojurado_69,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
Zarekt_,2023-11-23 15:44:32,xokasTalk,[[]],xokasTalk,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">xokasTalk</span></span>]"
camilo_rod,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
bryanc3012,2023-11-23 15:44:32,COPIUM COPIUM COPIUM COPIUM,[[]],COPIUM COPIUM COPIUM COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM COPIUM COPIUM COPIUM</span></span>]"
pepinotejp,2023-11-23 15:44:32,Currando COPIUM,[[]],Currando COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Currando COPIUM</span></span>]"
ShazaeMC,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
llBlackDrag0nll,2023-11-23 15:44:32,xokasTalk,[[]],xokasTalk,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">xokasTalk</span></span>]"
dova__,2023-11-23 15:44:32,MENTIRA,[[]],MENTIRA,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">MENTIRA</span></span>]"
Samlexpoc,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
irusstfunado,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
Raulex7,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
Molinaaroo,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
MachineFake,2023-11-23 15:44:32,PAID ACTOR,[[]],PAID ACTOR,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">PAID ACTOR</span></span>]"
r_e_n_n,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
Sefi_11,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
klonoh,2023-11-23 15:44:32,xokasTalk,[[]],xokasTalk,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">xokasTalk</span></span>]"
israelvalad,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
i28lune,2023-11-23 15:44:32,xokasTalk Copium,[[]],xokasTalk Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">xokasTalk Copium</span></span>]"
broken7mind,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
sodapop1312,2023-11-23 15:44:32,Con knekro y el Pokémon no te pasa,[[]],Con knekro y el Pokémon no te pasa,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Con knekro y el Pokémon no te pasa</span></span>]"
POLLICAPELUA,2023-11-23 15:44:32,LOS COJONES,[[]],LOS COJONES,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">LOS COJONES</span></span>]"
elcaalvoo,2023-11-23 15:44:32,COPUM,[[]],COPUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPUM</span></span>]"
eeddiie1_,2023-11-23 15:44:32,Copium,[[]],Copium,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Copium</span></span>]"
isaaacc7,2023-11-23 15:44:32,ES FAKE,[[]],ES FAKE,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">ES FAKE</span></span>]"
ElMuxacho,2023-11-23 15:44:32,COPIUM,[[]],COPIUM,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">COPIUM</span></span>]"
