user,live_date,message_selector,classes,rawText,raw
oblessed2k,2023-11-18 00:52:50,Kai you a bitch,[[]],Kai you a bitch,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Kai you a bitch</span></span>]"
TysonEM,2023-11-18 00:52:50,HEYYY,[[]],HEYYY,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">HEYYY</span></span>]"
skill_issue101,2023-11-18 00:52:50,NERD ASS,[[]],NERD ASS,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">NERD ASS</span></span>]"
Wasnthere_,2023-11-18 00:52:50,EWWWWWWWWWW,[[]],EWWWWWWWWWW,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">EWWWWWWWWWW</span></span>]"
sssanymofeee,2023-11-18 00:52:50,Oeeeeeeeeeeeeeeeeeeeeeee🫦😂🌟👩‍❤️‍💋‍👩❤️,[[]],Oeeeeeeeeeeeeeeeeeeeeeee🫦😂🌟👩‍❤️‍💋‍👩❤️,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Oeeeeeeeeeeeeeeeeeeeeeee🫦😂🌟👩‍❤️‍💋‍👩❤️</span></span>]"
luvniyahxo,2023-11-18 00:52:50,o,[[]],o,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">o</span></span>]"
legendofzexu,2023-11-18 00:52:50,FR SHIT MID,[[]],FR SHIT MID,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">FR SHIT MID</span></span>]"
Tyronebespazzin,2023-11-18 00:52:50,     ,[[]],     ,"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""fanumTROUPE1"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4ea2b7e8d3684c9c88af61e9b84c0536/default/dark/3.0 4x""/></div></span></div></div></span>]"
aalienxx,2023-11-18 00:52:50,.......,[[]],.......,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">.......</span></span>]"
uvuam,2023-11-18 00:52:50,Waum,[[]],Waum,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Waum</span></span>]"
