user,live_date,message_selector,classes,raw
indie_retro,2023-11-23 17:25:48,This test is laaaaaaaaammmmmeeeeee!,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">This test is laaaaaaaaammmmmeeeeee!</span></span>]"
jimichanga777,2023-11-23 17:25:49,giovanni va,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">giovanni va</span></span>]"
Archdragon,2023-11-23 17:25:51,lucky number sleven,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">lucky number sleven</span></span>]"
Umbreon125,2023-11-23 17:25:51,Who is she ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Who is she </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""Jebaited"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/114836/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/114836/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/114836/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/114836/default/dark/3.0 4x""/></div></span></div></div></span>]"
RegiTheGreat,2023-11-23 17:25:52,* ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">* </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""HotPokket"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/357/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/357/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/357/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/357/default/dark/3.0 4x""/></div></span></div></div></span>]"
TheBigBadSeekerofDarkness,2023-11-23 17:25:54,OH IT’S TNIS EPISO,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">OH IT’S TNIS EPISO</span></span>]"
zedders89,2023-11-23 17:25:55, Jessie,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""LUL"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> Jessie</span></span>]"
k_castillo98,2023-11-23 17:25:55,,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""rebel7"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/302209148/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/302209148/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/302209148/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/302209148/default/dark/3.0 4x""/></div></span></div></div></span>]"
Ada06,2023-11-23 17:25:56,gyyaaaaaaat,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">gyyaaaaaaat</span></span>]"
RegiTheGreat,2023-11-23 17:25:56,,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""LUL"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/425618/default/dark/3.0 4x""/></div></span></div></div></span>]"
